"ONTOLOGY"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"CC"	"GO:0070469"	"respirasome"	14	-0.817845015083707	-2.17353116150236	6.57618098011529e-06	6.57618098011529e-06	0.00261754620198824	136	"tags=79%, list=13%, signal=69%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:0098803"	"respiratory chain complex"	14	-0.817845015083707	-2.17353116150236	6.57618098011529e-06	6.57618098011529e-06	0.00261754620198824	136	"tags=79%, list=13%, signal=69%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"MF"	"GO:0015453"	"oxidoreduction-driven active transmembrane transporter activity"	13	-0.831008295614006	-2.15803409051771	6.88387895965816e-06	6.88387895965816e-06	0.00261754620198824	136	"tags=85%, list=13%, signal=75%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:1902495"	"transmembrane transporter complex"	60	-0.553201525537787	-2.03854502646098	8.90408403419888e-06	8.90408403419888e-06	0.00314387809207503	169	"tags=35%, list=16%, signal=31%"	"ENSG00000155097/ENSG00000156113/ENSG00000120899/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000107331/ENSG00000198886/ENSG00000125675/ENSG00000198695/ENSG00000164418/ENSG00000144406/ENSG00000198216/ENSG00000198804/ENSG00000008710/ENSG00000127914/ENSG00000069424/ENSG00000198840"
"CC"	"GO:1990351"	"transporter complex"	63	-0.549956553317383	-2.04066660900123	1.05643171158094e-05	1.05643171158094e-05	0.00348140583690111	231	"tags=41%, list=22%, signal=34%"	"ENSG00000112697/ENSG00000018625/ENSG00000196876/ENSG00000130414/ENSG00000155097/ENSG00000156113/ENSG00000120899/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000107331/ENSG00000198886/ENSG00000125675/ENSG00000198695/ENSG00000164418/ENSG00000144406/ENSG00000198216/ENSG00000198804/ENSG00000132932/ENSG00000008710/ENSG00000127914/ENSG00000069424/ENSG00000198840"
"BP"	"GO:0045333"	"cellular respiration"	22	-0.719895492157709	-2.16270077902264	1.36635213095749e-05	1.36635213095749e-05	0.00422130895195813	159	"tags=68%, list=15%, signal=59%"	"ENSG00000178209/ENSG00000291237/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0022904"	"respiratory electron transport chain"	18	-0.749032175873526	-2.12934353845881	1.9657314022093e-05	1.9657314022093e-05	0.00571583570574296	159	"tags=72%, list=15%, signal=62%"	"ENSG00000178209/ENSG00000291237/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"MF"	"GO:0009055"	"electron transfer activity"	14	-0.78796826646258	-2.09412975544776	3.51806807385784e-05	3.51806807385784e-05	0.00966131442972889	136	"tags=79%, list=13%, signal=69%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0006091"	"generation of precursor metabolites and energy"	47	-0.555536307698513	-1.98139821670564	6.21005374890023e-05	6.21005374890023e-05	0.015672832791717	159	"tags=40%, list=15%, signal=36%"	"ENSG00000178209/ENSG00000291237/ENSG00000212907/ENSG00000087250/ENSG00000198763/ENSG00000198888/ENSG00000067057/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000105220/ENSG00000198695/ENSG00000169764/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0022900"	"electron transport chain"	19	-0.714841121880432	-2.06762766826598	6.38846898625648e-05	6.38846898625648e-05	0.015672832791717	159	"tags=68%, list=15%, signal=59%"	"ENSG00000178209/ENSG00000291237/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:1990204"	"oxidoreductase complex"	13	-0.792993110929283	-2.05931297673347	6.65828394792917e-05	6.65828394792917e-05	0.015672832791717	136	"tags=69%, list=13%, signal=61%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198804/ENSG00000198840"
"BP"	"GO:0015986"	"proton motive force-driven ATP synthesis"	13	-0.789319310436426	-2.04977253442117	8.21347855237323e-05	8.21347855237323e-05	0.0184547824315525	136	"tags=77%, list=13%, signal=68%"	"ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0022857"	"transmembrane transporter activity"	101	-0.440792317701327	-1.74320068199606	0.000152828649267317	0.000152828649267317	0.0321042228951788	169	"tags=29%, list=16%, signal=27%"	"ENSG00000155097/ENSG00000167972/ENSG00000156113/ENSG00000120899/ENSG00000157087/ENSG00000212907/ENSG00000114573/ENSG00000109572/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000050438/ENSG00000107331/ENSG00000198886/ENSG00000125675/ENSG00000110955/ENSG00000017260/ENSG00000198695/ENSG00000164418/ENSG00000198938/ENSG00000144406/ENSG00000198216/ENSG00000198804/ENSG00000008710/ENSG00000069424/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0006754"	"ATP biosynthetic process"	15	-0.732714697085661	-1.97486960475884	0.00018185100702976	0.00018185100702976	0.0321042228951788	215	"tags=80%, list=20%, signal=65%"	"ENSG00000130414/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0009142"	"nucleoside triphosphate biosynthetic process"	15	-0.732714697085661	-1.97486960475884	0.00018185100702976	0.00018185100702976	0.0321042228951788	215	"tags=80%, list=20%, signal=65%"	"ENSG00000130414/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0009145"	"purine nucleoside triphosphate biosynthetic process"	15	-0.732714697085661	-1.97486960475884	0.00018185100702976	0.00018185100702976	0.0321042228951788	215	"tags=80%, list=20%, signal=65%"	"ENSG00000130414/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0009201"	"ribonucleoside triphosphate biosynthetic process"	15	-0.732714697085661	-1.97486960475884	0.00018185100702976	0.00018185100702976	0.0321042228951788	215	"tags=80%, list=20%, signal=65%"	"ENSG00000130414/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0009206"	"purine ribonucleoside triphosphate biosynthetic process"	15	-0.732714697085661	-1.97486960475884	0.00018185100702976	0.00018185100702976	0.0321042228951788	215	"tags=80%, list=20%, signal=65%"	"ENSG00000130414/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0022804"	"active transmembrane transporter activity"	52	-0.532096614812606	-1.90420999792452	0.000194287363140854	0.000194287363140854	0.0331170038950798	169	"tags=38%, list=16%, signal=34%"	"ENSG00000155097/ENSG00000167972/ENSG00000157087/ENSG00000212907/ENSG00000114573/ENSG00000109572/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000050438/ENSG00000107331/ENSG00000198886/ENSG00000110955/ENSG00000017260/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:0005743"	"mitochondrial inner membrane"	25	-0.63525097030502	-1.97096540108136	0.00026435997546558	0.00026435997546558	0.0435591033258374	136	"tags=56%, list=13%, signal=50%"	"ENSG00000212907/ENSG00000198836/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0042776"	"proton motive force-driven mitochondrial ATP synthesis"	12	-0.781319268042974	-2.00024399305222	0.000289026750646166	0.000289026750646166	0.0460872536853785	136	"tags=75%, list=13%, signal=66%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0016651"	"oxidoreductase activity, acting on NAD(P)H"	10	-0.804084548843713	-1.96949539155781	0.00033121885612741	0.00033121885612741	0.0511645969859973	136	"tags=90%, list=13%, signal=79%"	"ENSG00000130414/ENSG00000212907/ENSG00000133816/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0004129"	"cytochrome-c oxidase activity"	3	-0.973559962228517	-1.64166498157395	0.000400892442528935	0.000400892442528935	0.0535587741142497	32	"tags=100%, list=3%, signal=97%"	"ENSG00000198804/ENSG00000198712"
"CC"	"GO:0005751"	"mitochondrial respiratory chain complex IV"	3	-0.973559962228517	-1.64166498157395	0.000400892442528935	0.000400892442528935	0.0535587741142497	32	"tags=100%, list=3%, signal=97%"	"ENSG00000198804/ENSG00000198712"
"BP"	"GO:0006123"	"mitochondrial electron transport, cytochrome c to oxygen"	3	-0.973559962228517	-1.64166498157395	0.000400892442528935	0.000400892442528935	0.0535587741142497	32	"tags=100%, list=3%, signal=97%"	"ENSG00000198804/ENSG00000198712"
"MF"	"GO:0016675"	"oxidoreductase activity, acting on a heme group of donors"	3	-0.973559962228517	-1.64166498157395	0.000400892442528935	0.000400892442528935	0.0535587741142497	32	"tags=100%, list=3%, signal=97%"	"ENSG00000198804/ENSG00000198712"
"CC"	"GO:0045277"	"respiratory chain complex IV"	3	-0.973559962228517	-1.64166498157395	0.000400892442528935	0.000400892442528935	0.0535587741142497	32	"tags=100%, list=3%, signal=97%"	"ENSG00000198804/ENSG00000198712"
"BP"	"GO:1902600"	"proton transmembrane transport"	24	-0.62327543190102	-1.90960908501844	0.00043735556600705	0.00043735556600705	0.0568925689188118	186	"tags=50%, list=18%, signal=42%"	"ENSG00000205542/ENSG00000155097/ENSG00000114573/ENSG00000109572/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198938/ENSG00000198804/ENSG00000198712"
"MF"	"GO:0005215"	"transporter activity"	109	-0.418882177430253	-1.68344145434604	0.000544515367148952	0.000544515367148952	0.0690160368186635	169	"tags=45%, list=16%, signal=42%"	"ENSG00000174437/ENSG00000075043/ENSG00000124406/ENSG00000183023/ENSG00000153956/ENSG00000166206/ENSG00000131100/ENSG00000107130/ENSG00000073464/ENSG00000124140/ENSG00000092096/ENSG00000123104/ENSG00000066739/ENSG00000176884/ENSG00000112697/ENSG00000018625/ENSG00000196876/ENSG00000130414/ENSG00000023171/ENSG00000155097/ENSG00000167972/ENSG00000156113/ENSG00000120899/ENSG00000157087/ENSG00000212907/ENSG00000114573/ENSG00000109572/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000050438/ENSG00000107331/ENSG00000198886/ENSG00000125675/ENSG00000110955/ENSG00000017260/ENSG00000198695/ENSG00000164418/ENSG00000198938/ENSG00000144406/ENSG00000198216/ENSG00000198804/ENSG00000132932/ENSG00000008710/ENSG00000069424/ENSG00000198712/ENSG00000198840"
"BP"	"GO:1901606"	"alpha-amino acid catabolic process"	6	0.865260519872315	1.88093371971331	0.000691581717298533	0.000691581717298533	0.0846522481791632	82	"tags=67%, list=8%, signal=62%"	"ENSG00000148672/ENSG00000119711/ENSG00000153904/ENSG00000058668"
"BP"	"GO:1905330"	"regulation of morphogenesis of an epithelium"	3	0.968838526912181	1.66799020141012	0.000702130550804601	0.000702130550804601	0.0846522481791632	36	"tags=100%, list=3%, signal=97%"	"ENSG00000168036/ENSG00000152661/ENSG00000113578"
"BP"	"GO:0016053"	"organic acid biosynthetic process"	19	0.639022498215665	1.95731143771945	0.000758260702448319	0.000758260702448319	0.0871674971529329	95	"tags=37%, list=9%, signal=34%"	"ENSG00000148672/ENSG00000123684/ENSG00000123560/ENSG00000099194/ENSG00000169710/ENSG00000058668/ENSG00000112531"
"BP"	"GO:0046394"	"carboxylic acid biosynthetic process"	19	0.639022498215665	1.95731143771945	0.000758260702448319	0.000758260702448319	0.0871674971529329	95	"tags=37%, list=9%, signal=34%"	"ENSG00000148672/ENSG00000123684/ENSG00000123560/ENSG00000099194/ENSG00000169710/ENSG00000058668/ENSG00000112531"
"BP"	"GO:0008610"	"lipid biosynthetic process"	45	0.459596796441857	1.75420861922651	0.00105007885449786	0.00105007885449786	0.099480683512072	177	"tags=42%, list=17%, signal=37%"	"ENSG00000156671/ENSG00000070214/ENSG00000123684/ENSG00000101290/ENSG00000123560/ENSG00000143772/ENSG00000113578/ENSG00000099194/ENSG00000163590/ENSG00000149311/ENSG00000169710/ENSG00000177511/ENSG00000112531/ENSG00000115020/ENSG00000111897/ENSG00000276293/ENSG00000095637/ENSG00000150867/ENSG00000278540"
"MF"	"GO:0003954"	"NADH dehydrogenase activity"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0003955"	"NAD(P)H dehydrogenase (quinone) activity"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"CC"	"GO:0005747"	"mitochondrial respiratory chain complex I"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0016655"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"CC"	"GO:0030964"	"NADH dehydrogenase complex"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"CC"	"GO:0045271"	"respiratory chain complex I"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"MF"	"GO:0050136"	"NADH dehydrogenase (quinone) activity"	9	-0.795682421014641	-1.87738002850526	0.00106662104234089	0.00106662104234089	0.099480683512072	136	"tags=89%, list=13%, signal=78%"	"ENSG00000130414/ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198886/ENSG00000198695/ENSG00000198840"
"CC"	"GO:0098796"	"membrane protein complex"	119	-0.389802847929988	-1.59357760272171	0.00132662771040756	0.00132662771040756	0.12143944889033	114	"tags=22%, list=11%, signal=22%"	"ENSG00000114573/ENSG00000198763/ENSG00000157152/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000131018/ENSG00000107331/ENSG00000198886/ENSG00000189403/ENSG00000125675/ENSG00000110955/ENSG00000115266/ENSG00000198695/ENSG00000164418/ENSG00000198938/ENSG00000204681/ENSG00000144406/ENSG00000198216/ENSG00000198804/ENSG00000008710/ENSG00000127914/ENSG00000069424/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0044255"	"cellular lipid metabolic process"	55	0.434943885386137	1.76040287310006	0.0013867455608131	0.0013867455608131	0.124634586671356	177	"tags=38%, list=17%, signal=34%"	"ENSG00000156671/ENSG00000070214/ENSG00000123684/ENSG00000101290/ENSG00000091039/ENSG00000123560/ENSG00000143772/ENSG00000099194/ENSG00000163590/ENSG00000149311/ENSG00000169710/ENSG00000177511/ENSG00000136960/ENSG00000067992/ENSG00000112531/ENSG00000115020/ENSG00000111897/ENSG00000276293/ENSG00000177565/ENSG00000150867/ENSG00000278540"
"BP"	"GO:0010822"	"positive regulation of mitochondrion organization"	4	0.928934713429251	1.71798018314656	0.00142997138598729	0.00142997138598729	0.126224541890908	77	"tags=75%, list=7%, signal=70%"	"ENSG00000087470/ENSG00000197386/ENSG00000048707"
"CC"	"GO:0019866"	"organelle inner membrane"	28	-0.57581462314665	-1.81580765566382	0.00180683087869976	0.00180683087869976	0.156692110921036	136	"tags=50%, list=13%, signal=45%"	"ENSG00000212907/ENSG00000198836/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:0070069"	"cytochrome complex"	5	-0.882867915438126	-1.74318386978961	0.0020007087348526	0.0020007087348526	0.160758978497929	92	"tags=80%, list=9%, signal=73%"	"ENSG00000198727/ENSG00000198938/ENSG00000198804/ENSG00000198712"
"BP"	"GO:0006164"	"purine nucleotide biosynthetic process"	22	-0.607276797243868	-1.82437314414238	0.00201633386574277	0.00201633386574277	0.160758978497929	215	"tags=59%, list=20%, signal=48%"	"ENSG00000130414/ENSG00000154027/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0009165"	"nucleotide biosynthetic process"	22	-0.607276797243868	-1.82437314414238	0.00201633386574277	0.00201633386574277	0.160758978497929	215	"tags=59%, list=20%, signal=48%"	"ENSG00000130414/ENSG00000154027/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0072522"	"purine-containing compound biosynthetic process"	22	-0.607276797243868	-1.82437314414238	0.00201633386574277	0.00201633386574277	0.160758978497929	215	"tags=59%, list=20%, signal=48%"	"ENSG00000130414/ENSG00000154027/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:1901293"	"nucleoside phosphate biosynthetic process"	22	-0.607276797243868	-1.82437314414238	0.00201633386574277	0.00201633386574277	0.160758978497929	215	"tags=59%, list=20%, signal=48%"	"ENSG00000130414/ENSG00000154027/ENSG00000205542/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198840"
"BP"	"GO:0034220"	"monoatomic ion transmembrane transport"	116	-0.385729447012868	-1.57229084716467	0.00212519904619962	0.00212519904619962	0.162154412221572	334	"tags=43%, list=31%, signal=33%"	"ENSG00000060237/ENSG00000174437/ENSG00000075043/ENSG00000124406/ENSG00000183023/ENSG00000153956/ENSG00000134308/ENSG00000166206/ENSG00000198947/ENSG00000131100/ENSG00000107130/ENSG00000073464/ENSG00000124140/ENSG00000092096/ENSG00000123104/ENSG00000176884/ENSG00000018625/ENSG00000196876/ENSG00000114279/ENSG00000182621/ENSG00000205542/ENSG00000078549/ENSG00000117152/ENSG00000155097/ENSG00000156113/ENSG00000135018/ENSG00000049759/ENSG00000120899/ENSG00000157087/ENSG00000114573/ENSG00000109572/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000050438/ENSG00000198886/ENSG00000125675/ENSG00000110955/ENSG00000017260/ENSG00000136717/ENSG00000164418/ENSG00000198938/ENSG00000144406/ENSG00000198216/ENSG00000198804/ENSG00000008710/ENSG00000127914/ENSG00000069424/ENSG00000198712/ENSG00000154096"
"MF"	"GO:0005104"	"fibroblast growth factor receptor binding"	3	0.952358537205709	1.63961760826258	0.00215105296613808	0.00215105296613808	0.162154412221572	36	"tags=33%, list=3%, signal=32%"	"ENSG00000113578"
"MF"	"GO:0098960"	"postsynaptic neurotransmitter receptor activity"	11	-0.720019461371825	-1.80577133107608	0.00216505145789875	0.00216505145789875	0.162154412221572	64	"tags=27%, list=6%, signal=26%"	"ENSG00000125675/ENSG00000164418/ENSG00000204681"
